id,ant,com,lift
0,"Injeção Eletrônica e Motor', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.69280421661045
1,"Ferramentas Manuais', 'Ferramentas Automotivas'",Equipamento Auto Center',1.50708204082543
2,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Automotivas'",Equipamento Auto Center',1.49741633456631
3,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas em Geral'",1.48029146299043
4,"Ferramentas Manuais', 'Ferramentas Automotivas'","Ferramentas Elétricas e Máquinas', 'Equipamento Auto Center'",1.47208650494152
5,"Funilaria e Pintura', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas em Geral'",1.46675725447059
6,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Manuais', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.42525744859095
7,"Auto Elétrica', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.41436536508663
8,"Ferramentas Manuais', 'Aditivos e Lubrificantes', 'Funilaria e Pintura'",Ferramentas em Geral',1.40363463894414
9,Auto Elétrica',"Ferramentas Manuais', 'Ferramentas em Geral'",1.36995811934755
10,"Ferramentas Elétricas e Máquinas', 'Auto Elétrica', 'Equipamento Auto Center'",Ferramentas Manuais',1.36310927110443
11,"Funilaria e Pintura', 'Ferramentas Manuais', 'Aditivos e Lubrificantes'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.36300901459212
12,"Auto Elétrica', 'Equipamento Auto Center'",Ferramentas Manuais',1.35725508902858
13,Ferramentas Automotivas',Equipamento Auto Center',1.35537211633526
14,"Funilaria e Pintura', 'Ferramentas em Geral'","Ferramentas Elétricas e Máquinas', 'EPI'",1.35511949038698
15,"EPI', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas em Geral'",1.35152099075414
16,"Ferramentas Elétricas e Máquinas', 'Ferramentas Automotivas'",Equipamento Auto Center',1.35042858519708
17,"Equipamento Auto Center', 'Ferramentas Automotivas'",Ferramentas Manuais',1.34407754500343
18,"Ferramentas Elétricas e Máquinas', 'Auto Elétrica'","Ferramentas Manuais', 'Ferramentas em Geral'",1.33626203147238
19,"EPI', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas em Geral'",1.33602192483633
20,"Ferramentas em Geral', 'Ferramentas Automotivas'",Ferramentas Manuais',1.32613202400436
21,Funilaria e Pintura',"Ferramentas Elétricas e Máquinas', 'EPI'",1.32390142039753
