id,name,price,subcategoria,categoria
115989,Teste de Arrefecimento com 9 Peças,790.87,Arrefecimento e Outros,Injeção Eletrônica e Motor
116089,Equipamento para Teste de Arrefecimento ,999.89,Arrefecimento e Outros,Injeção Eletrônica e Motor
118089,Extrator do Terminal da Barra Direção,173.41,Linha Volkswagen,Ferramentas Automotivas
118289,"Levantador do Facão do Fusca, Brasília e",218.78,Linha Volkswagen,Ferramentas Automotivas
118389,Extrator da Pista Interna do Rolamento d,232.11,Linha Volkswagen,Ferramentas Automotivas
118489,Chave para Soltar a Porca do Amortecedor,81.28,Linha Volkswagen,Ferramentas Automotivas
118589,Chave para Soltar a Porca Superior do Am,76.09,Linha Volkswagen,Ferramentas Automotivas
118689,Extrator e Instalador da Bucha da Suspen,133.15,Linha Volkswagen,Ferramentas Automotivas
118889,Extrator e Instalador de Bancada para Bu,385.14,Linha Volkswagen,Ferramentas Automotivas
119189,Ferramenta para Regular a Tensão da Corr,75.9,Linha Volkswagen,Ferramentas Automotivas
119489,Chave Sextavada de 22 mm para a Porca do,64.87,Linha Volkswagen,Ferramentas Automotivas
1110489,Extrator de Engrenagem da 5ª Marcha do C,239.89,Linha Ford,Ferramentas Automotivas
1110689,Kit de Ferramentas para Extrair as Engre,493.22,Linha Ford,Ferramentas Automotivas
1112389,Extrator da Rótula ou Terminal da Direçã,123.22,Linha Ford,Ferramentas Automotivas
1112989,Ferramentas para Posicionar os PMS as Po,54.11,Linha Chevrolet,Ferramentas Automotivas
1113089,Ferramentas para Posicionar os PMS as Po,132.58,Linha Chevrolet,Ferramentas Automotivas
1113189,Chave para Parafusos de Cabeçote do Moto,67.67,Linha Chevrolet,Ferramentas Automotivas
1113489,Chave Soquete Longa 135 mm para Aperto d,85.44,Linha Ford,Ferramentas Automotivas
1114589,Extrator da Polia da Árvore de Manivelas,153.22,Linha Chevrolet,Ferramentas Automotivas
1114689,Extrator da Polia do Motor da Picape C-2,109.89,Linha Chevrolet,Ferramentas Automotivas
1114789,Extrator da Engrenagem da 5ª Marcha para,226.94,Linha Chevrolet,Ferramentas Automotivas
1115689,Extrator do volante da direção do Chevet,184.33,Ferramentas Especiais P/Auto Elétrica,Auto Elétrica
1115789,"Extrator do Volante da Direção do Corsa,",203.22,Linha Chevrolet,Ferramentas Automotivas
1115889,Extrator do Pivô da C-10 e D-10 e do Ter,139.89,Linha Chevrolet,Ferramentas Automotivas
1116789,Extrator e instalador do rolamento da ro,325.44,Linha Chevrolet,Ferramentas Automotivas
1118089,Extrator do Pivô da Suspensão Dianteira ,333.22,Linha Chevrolet,Ferramentas Automotivas
1118389,Chave para Soltar o Respiro do Filtro de,66.56,Linha Volkswagen,Ferramentas Automotivas
1119989,Extrator e Instalador do Rolamento da Ro,418.78,Linha Chevrolet,Ferramentas Automotivas
1120089,Extrator do Terminal de Direção e Pitman,301,Linha Chevrolet,Ferramentas Automotivas
1120189,Extrator e Instalador da Bucha da Suspen,303.22,Linha Chevrolet,Ferramentas Automotivas
1120489,Chave para Porca Superior do Amortecedor,141,Linha Chevrolet,Ferramentas Automotivas
1120889,Chave de 41mm para Regular a Correia Atr,87.9,Linha Chevrolet,Ferramentas Automotivas
1121189,Chave Tork E10 para os Parafusos de Fixa,75.44,Linha Chevrolet,Ferramentas Automotivas
1121489,Extrator do Terminal do Braço Pitman ,557.23,Linha Chevrolet,Ferramentas Automotivas
1122189,Extrator e Instalador das Buchas da Susp,546.38,Linha Chevrolet,Ferramentas Automotivas
1122889,Chave Estriada de 12 mm e Encaixe 1/2 Po,69.67,Linha Volkswagen,Ferramentas Automotivas
1122989,Chave Sextavada de 10 mm para os Parafus,62.7,Linha Volkswagen,Ferramentas Automotivas
1123389,Extrator da Polia da Árvore de Manivelas,212.11,Linha Volkswagen,Ferramentas Automotivas
1124789,Chave estriada de 1/2 Pol. x 17 mm ,110.13,Linha Fiat,Ferramentas Automotivas
1125389,Chave Estriada 1/2 Pol. (perfil RIBE) pa,93.22,Linha Fiat,Ferramentas Automotivas
1125589,Ferramenta para Retenção dos Tuchos de V,162.11,Linha Fiat,Ferramentas Automotivas
1125889,Alavanca para Acionar o Comando de Válvu,122.11,Linha Volkswagen,Ferramentas Automotivas
1125989,Alavanca para Pressionar as Válvulas ,89.89,Linha Fiat,Ferramentas Automotivas
1126089,Extrator e Instalador das Buchas Elástic,217.24,Linha Fiat,Ferramentas Automotivas
1127489,Chave Soquete Sextavada de 1/2 Pol. x 52,219.89,Linha Fiat,Ferramentas Automotivas
1127689,Chave da Porca do Amortecedor Dianteiro ,162.11,Linha Fiat,Ferramentas Automotivas
1127889,Ferramenta para Travar a Polia da Bomba ,98.78,Linha Volkswagen,Ferramentas Automotivas
1128189,Chave de Garras 1/2 Pol. para Porca do C,93.22,Linha Fiat,Ferramentas Automotivas
1128289,Chave de Garras 1/2 Pol. p/ Porca do Car,88.9,Linha Fiat,Ferramentas Automotivas
1128989,Chave Sextavada com Encaixe 3/4 Pol. - 3,108.78,Linha Fiat,Ferramentas Automotivas
1129789,Ferramenta para a Troca da Correia Denta,290.79,Linha Fiat,Ferramentas Automotivas
1129889,Ferramenta P/ Posicionar Eixo do Comando,267.67,Linha Fiat,Ferramentas Automotivas
1129989,Suporte para o Relógio Utilizado na Veri,238.25,Instrumentos P/ Medidas,Injeção Eletrônica e Motor
1130489,Chave Especial  (perfil RIBE) 1/2 Pol.,77.67,Linha Fiat,Ferramentas Automotivas
1131489,Chave Especial  1/2 Pol. (Perfil RIBE) p,81,Linha Fiat,Ferramentas Automotivas
1131589,Chave Especial Perfil Ribe para os Paraf,64.69,Linha Fiat,Ferramentas Automotivas
1131689,Conj. de Ferramentas p/ Posicionar os Ei,346.11,Linha Fiat,Ferramentas Automotivas
1131889,Ferramenta para Tencionar a Correia Dent,86.56,Linha Fiat,Ferramentas Automotivas
1132089,Extrator e Instalador da Bucha da Suspen,309.57,Linha Fiat,Ferramentas Automotivas
1132589,Chave Sextavada Longa de 6mm do Coletor ,70.33,Linha Volkswagen,Ferramentas Automotivas
1133089,Extrator e Instalador da Bucha de Metal ,238.78,Linha Volkswagen,Ferramentas Automotivas
1133389,Ferramentas para Retenção da Polia Denta,75.9,Linha Volkswagen,Ferramentas Automotivas
1133589,Ferramenta para Posicionar em PMS as Pol,83.22,Linha Volkswagen,Ferramentas Automotivas
