id,ant,com,lift
0,"Chave de Fenda e Philips, Chave Tork Tipo L",Jogo de Chave Allen,9.38621829611966
1,"Chave de Fenda e Philips, Jogo de Chave Allen",Chave Tork Tipo L,8.76490384615385
2,"Chave Tork Tipo L, Alicates",Jogo de Chave Allen,8.73807078662921
3,"Alicates, Jogo de Chave Allen",Chave Tork Tipo L,7.63598035463707
4,Chave Tork Tipo L,Jogo de Chave Allen,6.01962148035744
5,Jogo de Chave Allen,Chave Tork Tipo L,6.01962148035744
6,"Jogo de Soquetes, Alicates",Jogo de Chave Allen,5.62449014733262
7,"Máscara de Proteção, Máquinas de Solda Acessórios","Máquina de Solda, Eletrodo e Arames",5.5610915875974
8,"Chave L Biela, Alicates",Chave de Fenda e Philips,5.48888634710861
9,"Alicates, Jogo de Chave Allen",Chave de Fenda e Philips,5.41778374161717
10,"Chave de Fenda e Philips, Alicates",Jogo de Chave Allen,5.39077468971247
11,"Máscara de Proteção, Máquina de Solda, Máquinas de Solda Acessórios",Eletrodo e Arames,5.38565768762569
12,"Chave Tork Tipo L, Alicates",Chave de Fenda e Philips,5.36802514249584
13,"Caixa de Ferramentas, Alicates",Jogo de Chave Allen,5.26413613382088
14,"Chave Tork Tipo L, Jogo de Chave Allen",Chave de Fenda e Philips,5.21866928746731
15,"Martelos, Alicates",Chave de Fenda e Philips,5.02136289098529
16,"Eletrodo e Arames, Máquinas de Solda Acessórios","Máscara de Proteção, Máquina de Solda",4.85269301930344
17,"Luvas, Máquina de Solda",Eletrodo e Arames,4.72602373822709
18,"Máquina de Solda, Máquinas de Solda Acessórios",Eletrodo e Arames,4.71544334662001
19,"Caixa de Ferramentas, Alicates",Chave de Fenda e Philips,4.44607647003959
20,"Jogo de Soquetes, Alicates",Chave de Fenda e Philips,4.31455772231398
21,"Máscara de Proteção, Máquinas de Solda Acessórios",Eletrodo e Arames,4.24479552316874
22,"Máscara de Proteção, Máquina de Solda",Eletrodo e Arames,4.16547369251636
23,Eletrodo e Arames,"Máscara de Proteção, Máquina de Solda",4.16547369251636
24,"Chave de Fenda e Philips, Martelos",Alicates,4.12897628687102
25,"Chave de Fenda e Philips, Jogo de Chave Allen",Alicates,3.97691597414589
26,"Alicates, Jogo de Chave Allen",Jogo de Soquetes,3.9114094813634
27,"Caixa de Ferramentas, Jogo de Chave Allen",Alicates,3.89724310776942
28,"Chave L Biela, Chave de Fenda e Philips",Alicates,3.87253097779414
29,"Jogo de Soquetes, Jogo de Chave Allen",Alicates,3.70906432748538
30,"Chave de Fenda e Philips, Caixa de Ferramentas",Alicates,3.70407423517471
31,"Chave de Fenda e Philips, Chave Tork Tipo L",Alicates,3.6875
32,Protetor Auricular,Luvas,3.67010332650238
33,Chave L Biela,Chave de Fenda e Philips,3.62788552057828
34,"Chave de Fenda e Philips, Jogo de Soquetes",Alicates,3.5906152942164
35,Jogo de Chave Allen,Chave de Fenda e Philips,3.58411390394259
